,FEMININO,%FEMININO,MASCULINO,%MASCULINO,BRANCA,%BRANCA,NEGRA,%NEGRA,AMARELA,%AMARELA,INDÍGENA,%INDÍGENA,ENSINO MÉDIO,%ENSINO MÉDIO,ENSINO FUNDAMENTAL,%ENSINO FUNDAMENTAL,ENSINO SUPERIOR,%ENSINO SUPERIOR,LÊ E ESCREVE,%LÊ E ESCREVE
PARTIDO PÁTRIA LIVRE,42,28.8,104,71.2,38,26.0,107,73.3,1.0,0.7,0.0,0.0,71.0,48.6,37.0,25.3,36,24.7,2.0,1.4
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,69,35.9,123,64.1,48,25.0,142,74.0,2.0,1.0,0.0,0.0,85.0,44.3,53.0,27.6,50,26.0,4.0,2.1
PARTIDO REPUBLICANO BRASILEIRO,82,32.4,171,67.6,49,19.4,202,79.8,2.0,0.8,0.0,0.0,130.0,51.4,74.0,29.2,44,17.4,5.0,2.0
PARTIDO REPUBLICANO DA ORDEM SOCIAL,35,35.7,63,64.3,32,32.7,66,67.3,0.0,0.0,0.0,0.0,54.0,55.1,20.0,20.4,22,22.4,2.0,2.0
PARTIDO REPUBLICANO PROGRESSISTA,84,31.8,180,68.2,71,26.9,189,71.6,2.0,0.8,2.0,0.8,108.0,40.9,95.0,36.0,55,20.8,6.0,2.3
PARTIDO SOCIAL CRISTÃO,84,31.3,184,68.7,63,23.5,204,76.1,1.0,0.4,0.0,0.0,117.0,43.7,68.0,25.4,73,27.2,10.0,3.7
PARTIDO SOCIAL DEMOCRATA CRISTÃO,31,28.7,77,71.3,34,31.5,74,68.5,0.0,0.0,0.0,0.0,66.0,61.1,21.0,19.4,20,18.5,1.0,0.9
PARTIDO SOCIAL DEMOCRÁTICO,121,34.3,232,65.7,88,24.9,263,74.5,2.0,0.6,0.0,0.0,148.0,41.9,112.0,31.7,79,22.4,14.0,4.0
PARTIDO SOCIAL LIBERAL,80,34.2,154,65.8,58,24.8,175,74.8,1.0,0.4,0.0,0.0,112.0,47.9,65.0,27.8,47,20.1,10.0,4.3
PARTIDO SOCIALISMO E LIBERDADE,23,41.1,33,58.9,7,12.5,49,87.5,0.0,0.0,0.0,0.0,30.0,53.6,16.0,28.6,10,17.9,0.0,0.0
PARTIDO SOCIALISTA BRASILEIRO,90,30.1,209,69.9,78,26.1,220,73.6,0.0,0.0,1.0,0.3,119.0,39.8,81.0,27.1,89,29.8,10.0,3.3
PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,1,33.3,2,66.7,1,33.3,2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100.0,0.0,0.0
PARTIDO TRABALHISTA BRASILEIRO,14,20.3,55,79.7,20,29.0,48,69.6,1.0,1.4,0.0,0.0,31.0,44.9,21.0,30.4,15,21.7,2.0,2.9
PARTIDO TRABALHISTA CRISTÃO,33,27.5,87,72.5,26,21.7,94,78.3,0.0,0.0,0.0,0.0,52.0,43.3,37.0,30.8,30,25.0,1.0,0.8
PARTIDO TRABALHISTA DO BRASIL,26,27.4,69,72.6,27,28.4,68,71.6,0.0,0.0,0.0,0.0,46.0,48.4,28.0,29.5,16,16.8,5.0,5.3
PARTIDO TRABALHISTA NACIONAL,26,31.7,56,68.3,22,26.8,59,72.0,1.0,1.2,0.0,0.0,38.0,46.3,20.0,24.4,20,24.4,4.0,4.9
PARTIDO VERDE,53,37.6,88,62.4,33,23.4,108,76.6,0.0,0.0,0.0,0.0,70.0,49.6,32.0,22.7,37,26.2,2.0,1.4
REDE SUSTENTABILIDADE,8,40.0,12,60.0,2,10.0,18,90.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,25.0,10,50.0,0.0,0.0
SOLIDARIEDADE,73,35.4,133,64.6,53,25.7,150,72.8,1.0,0.5,2.0,1.0,79.0,38.3,80.0,38.8,39,18.9,8.0,3.9
